"GEAR_name","STANDARD_GEAR","count_ORACLE","GEARCODE","count_HISTORICAL","COMPARE"
"beach/haul seine","010",1977,100,1977,0
"bottom/hand line","700",9861,104,9987,-126
"by hand, diving gear","752",1815,NA,NA,NA
"cast net","551",33,109,33,0
"entangling nets (gill) unspc","200",526,103,526,0
"lines long set with hooks","400",20,107,20,0
"lines power troll other","320",667,105,667,0
"pots and traps, fish","139",2744,101,2744,0
"pots and traps, spiny lobster","140",84,102,84,0
"scuba diving",NA,NA,116,1806,NA
"skin diving",NA,NA,114,9,NA
"trammel net","210",2980,118,2980,0
