ITIS_CODE,common,REGION_NAME,value,param,ORIGINAL_LENGTH_TYPE,desired,units
167763,SCAMP,SOUTH ATLANTIC,0,a,FORK LENGTH,FORK LENGTH,cm
167763,SCAMP,SOUTH ATLANTIC,1,b,FORK LENGTH,FORK LENGTH,cm
167763,SCAMP,SOUTH ATLANTIC,1.972,a,TOTAL LENGTH,FORK LENGTH,cm
167763,SCAMP,SOUTH ATLANTIC,0.89,b,TOTAL LENGTH,FORK LENGTH,cm
167763,SCAMP,SOUTH ATLANTIC,2.538,a,STANDARD LENGTH,FORK LENGTH,cm
167763,SCAMP,SOUTH ATLANTIC,1.12,b,STANDARD LENGTH,FORK LENGTH,cm
167763,SCAMP,SOUTH ATLANTIC,2.3,a,MAX TOTAL LENGTH,FORK LENGTH,cm
167763,SCAMP,SOUTH ATLANTIC,0.88,b,MAX TOTAL LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,SOUTH ATLANTIC,0,a,FORK LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,SOUTH ATLANTIC,1,b,FORK LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,SOUTH ATLANTIC,1.972,a,TOTAL LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,SOUTH ATLANTIC,0.89,b,TOTAL LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,SOUTH ATLANTIC,2.538,a,STANDARD LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,SOUTH ATLANTIC,1.12,b,STANDARD LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,SOUTH ATLANTIC,2.3,a,MAX TOTAL LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,SOUTH ATLANTIC,0.88,b,MAX TOTAL LENGTH,FORK LENGTH,cm
167763,SCAMP,GULF,0,a,FORK LENGTH,FORK LENGTH,cm
167763,SCAMP,GULF,1,b,FORK LENGTH,FORK LENGTH,cm
167763,SCAMP,GULF,1.774,a,TOTAL LENGTH,FORK LENGTH,cm
167763,SCAMP,GULF,0.89,b,TOTAL LENGTH,FORK LENGTH,cm
167763,SCAMP,GULF,1.953,a,STANDARD LENGTH,FORK LENGTH,cm
167763,SCAMP,GULF,1.12,b,STANDARD LENGTH,FORK LENGTH,cm
167763,SCAMP,GULF,2.301,a,MAX TOTAL LENGTH,FORK LENGTH,cm
167763,SCAMP,GULF,0.87,b,MAX TOTAL LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,GULF,0,a,FORK LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,GULF,1,b,FORK LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,GULF,1.774,a,TOTAL LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,GULF,0.89,b,TOTAL LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,GULF,1.953,a,STANDARD LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,GULF,1.12,b,STANDARD LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,GULF,2.301,a,MAX TOTAL LENGTH,FORK LENGTH,cm
167762,YELLOWMOUTH GROUPER,GULF,0.87,b,MAX TOTAL LENGTH,FORK LENGTH,cm
167759,GAG,GULF,0,a,FORK LENGTH,FORK LENGTH,cm
167759,GAG,GULF,1,b,FORK LENGTH,FORK LENGTH,cm
167759,GAG,GULF,1.315,a,TOTAL LENGTH,FORK LENGTH,cm
167759,GAG,GULF,0.96,b,TOTAL LENGTH,FORK LENGTH,cm
167759,GAG,GULF,0.107,a,MAX TOTAL LENGTH,FORK LENGTH,cm
167759,GAG,GULF,0.97,b,MAX TOTAL LENGTH,FORK LENGTH,cm
167759,GAG,GULF,0,a,CURVED FORK LENGTH,FORK LENGTH,cm
167759,GAG,GULF,1,b,CURVED FORK LENGTH,FORK LENGTH,cm
167759,GAG,GULF,1.953,a,STANDARD LENGTH,FORK LENGTH,cm
167759,GAG,GULF,1.12,b,STANDARD LENGTH,FORK LENGTH,cm
173139,QUEEN TRIGGERFISH,PUERTO RICO - USVI,0,a,FORK LENGTH,FORK LENGTH,cm
173139,QUEEN TRIGGERFISH,PUERTO RICO - USVI,1,b,FORK LENGTH,FORK LENGTH,cm
173139,QUEEN TRIGGERFISH,PUERTO RICO - USVI,0,a,TOTAL LENGTH,FORK LENGTH,cm
173139,QUEEN TRIGGERFISH,PUERTO RICO - USVI,1,b,TOTAL LENGTH,FORK LENGTH,cm
173139,QUEEN TRIGGERFISH,PUERTO RICO - USVI,0,a,CURVED FORK LENGTH,FORK LENGTH,cm
173139,QUEEN TRIGGERFISH,PUERTO RICO - USVI,1,b,CURVED FORK LENGTH,FORK LENGTH,cm
173139,QUEEN TRIGGERFISH,PUERTO RICO - USVI,0,a,MAX TOTAL LENGTH,FORK LENGTH,cm
173139,QUEEN TRIGGERFISH,PUERTO RICO - USVI,1,b,MAX TOTAL LENGTH,FORK LENGTH,cm
173139,QUEEN TRIGGERFISH,PUERTO RICO - USVI,0.97855,a,STANDARD LENGTH,FORK LENGTH,cm
173139,QUEEN TRIGGERFISH,PUERTO RICO - USVI,1.104,b,STANDARD LENGTH,FORK LENGTH,cm
168907,YELLOWTAIL SNAPPER,PUERTO RICO - USVI,0.95441,a,STANDARD LENGTH,FORK LENGTH,cm
168907,YELLOWTAIL SNAPPER,PUERTO RICO - USVI,1.1159,b,STANDARD LENGTH,FORK LENGTH,cm
168907,YELLOWTAIL SNAPPER,PUERTO RICO - USVI,1.26563,a,TOTAL LENGTH,FORK LENGTH,cm
