"NEWDATE","COUNT_HISTORICAL","COUNT_ORACLE","COMPARE"
2004-01-06,60,60,0
2004-01-07,3,3,0
2004-01-08,28,28,0
2004-01-12,10,10,0
2004-01-14,1,1,0
2004-01-15,61,61,0
2004-01-19,43,43,0
2004-01-21,7,7,0
2004-01-26,40,40,0
2004-01-28,24,24,0
2004-02-01,16,16,0
2004-02-11,17,17,0
2004-02-17,30,30,0
2004-03-04,2,2,0
2004-03-09,8,8,0
2004-03-11,25,25,0
2004-03-14,2,2,0
2004-03-17,5,5,0
2004-03-18,24,24,0
2004-03-22,3,3,0
2004-03-28,1,1,0
2004-04-01,2,2,0
2004-04-13,8,8,0
2004-04-15,5,5,0
2004-04-22,7,7,0
2004-04-29,3,3,0
2004-05-03,5,5,0
2004-05-06,14,14,0
2004-05-12,19,19,0
2004-05-28,3,3,0
2004-06-03,25,53,28
2004-06-10,NA,12,NA
2004-06-15,NA,10,NA
2004-06-16,NA,23,NA
2004-06-24,5,5,0
2004-07-01,37,37,0
2004-07-07,2,2,0
2004-07-09,33,33,0
2004-07-15,11,11,0
2004-07-23,30,30,0
2004-07-30,12,12,0
2004-08-09,13,13,0
2004-08-13,25,25,0
2004-08-20,30,30,0
2004-08-24,17,17,0
2004-08-25,2,2,0
2004-08-27,36,36,0
2004-08-30,55,55,0
2004-09-02,2,2,0
2004-09-03,4,4,0
2004-09-20,2,2,0
2004-09-22,3,3,0
2004-09-23,30,30,0
2004-10-01,1,1,0
2004-10-06,1,1,0
2004-10-08,31,31,0
2004-10-12,20,20,0
2004-10-17,16,16,0
2004-10-19,4,4,0
2004-10-20,NA,1,NA
2004-10-21,30,30,0
2004-10-28,12,12,0
2004-11-07,2,2,0
2004-11-09,26,26,0
2004-11-11,7,7,0
2004-11-16,21,21,0
2004-11-21,1,1,0
2004-11-22,3,3,0
2004-11-28,14,14,0
2004-11-29,2,2,0
2004-11-30,3,3,0
2004-12-01,5,5,0
2004-12-02,2,2,0
2004-12-06,4,4,0
2004-12-07,1,1,0
2004-12-20,1,1,0
