STANDARDGEARNAME_1,gear_short,gear,fleet
"BUOY GEAR, VERTICAL",OT,Other,0
BY HAND,SP,Spear,1
"BY HAND, DIVING GEAR",SP,Spear,1
CAST NETS,OT,Other,0
DIP NETS,OT,Other,0
ENCIRCLING NETS (PURSE),OT,Other,0
ENTANGLING NETS (GILL) UNSPC,OT,Other,0
"GILL NETS, OTHER",OT,Other,0
"GRABS, HOOKS",OT,Other,0
HAUL SEINES,OT,Other,0
"HOOKS, SPONGE",OT,Other,0
LINES HAND,HL,Hook and Line,1
LINES LONG DRIFT WITH HOOKS,OT,Other,0
LINES LONG SET WITH HOOKS,OT,Other,0
"LINES LONG, REEF FISH",OT,Other,0
LINES POWER TROLL OTHER,HL,Hook and Line,1
NOT CODED,OT,Other,0
"POTS AND TRAPS, BOX TRAP",TR,Trap,1
"POTS AND TRAPS, CMB",TR,Trap,1
"POTS AND TRAPS, FISH",TR,Trap,1
"POTS AND TRAPS, SPINY LOBSTER",TR,Trap,1
"REEL, ELECTRIC OR HYDRAULIC",HL,Hook and Line,1
ROD AND REEL,HL,Hook and Line,1
"ROD AND REEL, ELECTRIC (HAND)",HL,Hook and Line,1
SKIN DIVING,SP,Spear,1
SPEARS,SP,Spear,1
"SPEARS, DIVING",SP,Spear,1
STOP SEINES,OT,Other,0
TRAMMEL NETS,OT,Other,0
UNSPECIFIED GEAR,OT,Other,0
NA,OT,Other,0
