VARIABLE,OVERALL_NA,OVERALL_PERCENT_NA,OVERALL_PERCENT_REPORTED,YTS_NA,YTS_PERCENT_NA,YTS_PERCENT_REPORTED,HOG_NA,HOG_PERCENT_NA,HOG_PERCENT_REPORTED,LOB_NA,LOB_PERCENT_NA,LOB_PERCENT_REPORTED,QTF_NA,QTF_PERCENT_NA,QTF_PERCENT_REPORTED,SLP_NA,SLP_PERCENT_NA,SLP_PERCENT_REPORTED,REH_NA,REH_PERCENT_NA,REH_PERCENT_REPORTED
AGE,161227,42.07407,57.9259,52040,39.8578,60.14215,4508,51.983,48.017,51860,50.21253,49.7875,17468,47.693,52.3071,11594,22.859,77.1412,23757,44.543,55.457
AGE_STATUS,131446,34.30237,65.6976,32891,25.1915,74.80852,3553,40.971,59.029,48113,46.58456,53.4154,17454,47.655,52.3453,8839,17.427,82.5729,20596,38.616,61.3837
AGENCY_ID,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
AGENCY_NAME,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
AGENCY_SHORT_NAME,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
AGENT_USERNAME_ID,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
AREA_1,15143,3.95174,96.0483,5787,4.4323,95.56769,704,8.118,91.882,4488,4.34543,95.6546,903,2.465,97.5345,1194,2.354,97.6459,2067,3.876,96.1245
AREA_2,347603,90.71107,9.2889,124907,95.6673,4.33274,8343,96.206,3.794,91508,88.601,11.399,32231,88,11.9997,41897,82.604,17.3955,48717,91.342,8.6585
AREA_3,381581,99.57802,0.422,130388,99.8652,0.1348,8654,99.792,0.208,102829,99.56236,0.4376,36411,99.413,0.587,50331,99.233,0.767,52968,99.312,0.6881
AREA_4,383017,99.95277,0.0472,130508,99.9571,0.04289,8670,99.977,0.023,103276,99.99516,0.0048,36607,99.948,0.0519,50658,99.878,0.1222,53298,99.931,0.0694
AREA_5,383198,100,0,130564,100,0,8672,100,0,103281,100,0,36626,100,0,50720,100,0,53335,100,0
AREANAME_1,15622,4.07674,95.9233,5863,4.4905,95.50948,707,8.153,91.847,4732,4.58168,95.4183,1018,2.779,97.2206,1197,2.36,97.64,2105,3.947,96.0532
AREANAME_2,347603,90.71107,9.2889,124907,95.6673,4.33274,8343,96.206,3.794,91508,88.601,11.399,32231,88,11.9997,41897,82.604,17.3955,48717,91.342,8.6585
AREANAME_3,381581,99.57802,0.422,130388,99.8652,0.1348,8654,99.792,0.208,102829,99.56236,0.4376,36411,99.413,0.587,50331,99.233,0.767,52968,99.312,0.6881
AREANAME_4,383017,99.95277,0.0472,130508,99.9571,0.04289,8670,99.977,0.023,103276,99.99516,0.0048,36607,99.948,0.0519,50658,99.878,0.1222,53298,99.931,0.0694
AREANAME_5,383198,100,0,130564,100,0,8672,100,0,103281,100,0,36626,100,0,50720,100,0,53335,100,0
BEGIN_HOUR_MIN,291207,75.99387,24.0061,113208,86.7069,13.2931,8280,95.48,4.52,79889,77.35111,22.6489,21199,57.88,42.1204,28912,57.003,42.9968,39719,74.471,25.5292
BIAS_TYPE,78448,20.47192,79.5281,17541,13.4348,86.56521,2793,32.207,67.793,32505,31.47239,68.5276,9778,26.697,73.3031,3734,7.362,92.638,12097,22.681,77.3188
CHECKED_DATE,378951,98.8917,1.1083,129758,99.3827,0.61732,8655,99.804,0.196,102089,98.84587,1.1541,35679,97.414,2.5856,50533,99.631,0.3687,52237,97.941,2.0587
CHECKER,378951,98.8917,1.1083,129758,99.3827,0.61732,8655,99.804,0.196,102089,98.84587,1.1541,35679,97.414,2.5856,50533,99.631,0.3687,52237,97.941,2.0587
CONDITION_TYPE,5,0.0013,99.9987,0,0,100,0,0,100,5,0.00484,99.9952,0,0,100,0,0,100,0,0,100
COUNTY_LANDED,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
COUNTY_SAMPLED,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
CREATED_BY_USER_ID,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
CREATED_DATE,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
CREW_SIZE,182567,47.64299,52.357,88305,67.6335,32.3665,4556,52.537,47.463,43365,41.98739,58.0126,8600,23.481,76.5194,15777,31.106,68.8939,21964,41.181,58.8188
DEALER,125720,32.8081,67.1919,36030,27.5957,72.40434,4188,48.293,51.707,45264,43.82607,56.1739,15127,41.301,58.6987,6150,12.125,87.8746,18961,35.551,64.4492
DEALER_CODE,125720,32.8081,67.1919,36030,27.5957,72.40434,4188,48.293,51.707,45264,43.82607,56.1739,15127,41.301,58.6987,6150,12.125,87.8746,18961,35.551,64.4492
