"","Row.names","na_count_13","percent_na_13","percent_reported_13","na_count_14","percent_na_14","percent_reported_14","na_count_15","percent_na_15","percent_reported_15","na_count_16","percent_na_16","percent_reported_16","na_count_17","percent_na_17","percent_reported_17","na_count_18","percent_na_18","percent_reported_18","na_count_19","percent_na_19","percent_reported_19","na_count_20","percent_na_20","percent_reported_20","na_count_21","percent_na_21","percent_reported_21","na_count_22","percent_na_22","percent_reported_22"
"1","AGE",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"2","AGE_STATUS",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"3","AGENCY_ID",0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"4","AGENCY_NAME",0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"5","AGENCY_SHORT_NAME",0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"6","AGENT_USERNAME_ID",0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"7","AREA_1",0,0,100,1,0.0114613180515759,99.9885386819484,0,0,100,208,1.74701831009575,98.2529816899042,103,1.05155691679428,98.9484430832057,8,0.0845665961945032,99.9154334038055,12,0.122000813338756,99.8779991866612,1,0.102249488752556,99.8977505112474,0,0,100,0,0,100
"8","AREA_2",7280,97.9679720091509,2.03202799084914,8269,94.7736389684814,5.22636103151862,7493,90.8462657613967,9.15373423860329,11299,94.9017302200571,5.09826977994288,8258,84.3083205717203,15.6916794282797,8326,88.0126849894292,11.9873150105708,9472,96.2993086620578,3.70069133794225,906,92.6380368098159,7.36196319018406,1915,84.3612334801762,15.6387665198238,4913,95.4165857448048,4.58341425519518
"9","AREA_3",7431,100,0,8725,100,0,8231,99.7938894277401,0.206110572259945,11906,100,0,9792,99.9693721286371,0.0306278713629382,9435,99.7357293868922,0.264270613107826,9816,99.7966653111021,0.203334688897925,978,100,0,2270,100,0,5020,97.4946591571179,2.50534084288211
"10","AREA_4",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"11","AREA_5",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"12","AREANAME_1",0,0,100,1,0.0114613180515759,99.9885386819484,0,0,100,208,1.74701831009575,98.2529816899042,103,1.05155691679428,98.9484430832057,8,0.0845665961945032,99.9154334038055,12,0.122000813338756,99.8779991866612,1,0.102249488752556,99.8977505112474,0,0,100,0,0,100
"13","AREANAME_2",7280,97.9679720091509,2.03202799084914,8269,94.7736389684814,5.22636103151862,7493,90.8462657613967,9.15373423860329,11299,94.9017302200571,5.09826977994288,8258,84.3083205717203,15.6916794282797,8326,88.0126849894292,11.9873150105708,9472,96.2993086620578,3.70069133794225,906,92.6380368098159,7.36196319018406,1915,84.3612334801762,15.6387665198238,4913,95.4165857448048,4.58341425519518
"14","AREANAME_3",7431,100,0,8725,100,0,8231,99.7938894277401,0.206110572259945,11906,100,0,9792,99.9693721286371,0.0306278713629382,9435,99.7357293868922,0.264270613107826,9816,99.7966653111021,0.203334688897925,978,100,0,2270,100,0,5020,97.4946591571179,2.50534084288211
"15","AREANAME_4",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"16","AREANAME_5",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"17","BEGIN_HOUR_MIN",6102,82.1154622527251,17.8845377472749,8595,98.5100286532951,1.48997134670486,7959,96.496120271581,3.50387972841901,7094,59.5834033260541,40.4165966739459,4055,41.3986727922409,58.6013272077591,4130,43.6575052854123,56.3424947145877,5181,52.6738511590077,47.3261488409923,351,35.8895705521472,64.1104294478528,1231,54.2290748898678,45.7709251101322,3457,67.1392503398718,32.8607496601282
"18","BIAS_TYPE",6815,91.7104023684565,8.28959763154353,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"19","CHECKED_DATE",6262,84.2686044946844,15.7313955053156,8725,100,0,7966,96.5809893307468,3.41901066925315,9113,76.54123971107,23.45876028893,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"20","CHECKER",6262,84.2686044946844,15.7313955053156,8725,100,0,7966,96.5809893307468,3.41901066925315,9113,76.54123971107,23.45876028893,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"21","CONDITION_TYPE",0,0,100,0,0,100,0,0,100,5,0.0419956324542248,99.9580043675458,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"22","COUNTY_LANDED",0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"23","COUNTY_SAMPLED",0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"24","CREATED_BY_USER_ID",0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"25","CREATED_DATE",0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"26","CREW_SIZE",0,0,100,293,3.35816618911175,96.6418338108883,0,0,100,27,0.226776415252814,99.7732235847472,29,0.296069423175089,99.7039305768249,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"27","DEALER",6894,92.7735163504239,7.2264836495761,8725,100,0,8088,98.0601357904947,1.93986420950534,11866,99.6640349403662,0.335965059633807,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"28","DEALER_CODE",6894,92.7735163504239,7.2264836495761,8725,100,0,8088,98.0601357904947,1.93986420950534,11866,99.6640349403662,0.335965059633807,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"29","DESTINATION_1",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"30","DESTINATION_2",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"31","DESTINATION_3",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"32","EFF_CREATED_DATE1",0,0,100,1,0.0114613180515759,99.9885386819484,0,0,100,150,1.25986897362674,98.7401310263733,103,1.05155691679428,98.9484430832057,8,0.0845665961945032,99.9154334038055,12,0.122000813338756,99.8779991866612,1,0.102249488752556,99.8977505112474,0,0,100,0,0,100
"33","EFF_CREATED_DATE2",7280,97.9679720091509,2.03202799084914,8269,94.7736389684814,5.22636103151862,7493,90.8462657613967,9.15373423860329,11289,94.8177389551487,5.18226104485133,8258,84.3083205717203,15.6916794282797,8326,88.0126849894292,11.9873150105708,9472,96.2993086620578,3.70069133794225,906,92.6380368098159,7.36196319018406,1915,84.3612334801762,15.6387665198238,4913,95.4165857448048,4.58341425519518
"34","EFF_CREATED_DATE3",7431,100,0,8725,100,0,8231,99.7938894277401,0.206110572259945,11906,100,0,9792,99.9693721286371,0.0306278713629382,9435,99.7357293868922,0.264270613107826,9816,99.7966653111021,0.203334688897925,978,100,0,2270,100,0,5020,97.4946591571179,2.50534084288211
"35","EFF_CREATED_DATE4",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"36","EFF_CREATED_DATE5",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"37","EFF_MODIFIED_DATE1",6812,91.6700309514197,8.32996904858028,6375,73.0659025787966,26.9340974212034,7638,92.6042677012609,7.39573229873909,7986,67.0754241558878,32.9245758441122,4416,45.0842266462481,54.9157733537519,8840,93.446088794926,6.55391120507399,9708,98.6986579910533,1.30134200894673,968,98.9775051124744,1.02249488752555,2157,95.0220264317181,4.97797356828194,4860,94.3872596620703,5.61274033792969
"38","EFF_MODIFIED_DATE2",7427,99.946171443951,0.053828556048984,8723,99.9770773638969,0.0229226361031465,8204,99.466537342386,0.533462657613967,11780,98.9417100621535,1.05828993784647,8561,87.4017355793772,12.5982644206228,9436,99.7463002114165,0.253699788583504,9836,100,0,978,100,0,2270,100,0,5149,100,0
"39","EFF_MODIFIED_DATE3",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9792,99.9693721286371,0.0306278713629382,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"40","EFF_MODIFIED_DATE4",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"41","EFF_MODIFIED_DATE5",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"42","EFFORT_INTERVIEW_ID",0,0,100,1,0.0114613180515759,99.9885386819484,0,0,100,150,1.25986897362674,98.7401310263733,103,1.05155691679428,98.9484430832057,8,0.0845665961945032,99.9154334038055,12,0.122000813338756,99.8779991866612,1,0.102249488752556,99.8977505112474,0,0,100,0,0,100
"43","EFFORT_UNIQUE",0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"44","END_HOUR_MIN",6102,82.1154622527251,17.8845377472749,8595,98.5100286532951,1.48997134670486,7966,96.5809893307468,3.41901066925315,7094,59.5834033260541,40.4165966739459,4055,41.3986727922409,58.6013272077591,4130,43.6575052854123,56.3424947145877,5181,52.6738511590077,47.3261488409923,351,35.8895705521472,64.1104294478528,1231,54.2290748898678,45.7709251101322,3457,67.1392503398718,32.8607496601282
"45","END_LENGTH",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"46","EXACT_LENGTH",0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"47","FISHING_MODE",0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"48","FULL_CATCH",0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
"49","GEAR_1",0,0,100,1,0.0114613180515759,99.9885386819484,0,0,100,150,1.25986897362674,98.7401310263733,103,1.05155691679428,98.9484430832057,8,0.0845665961945032,99.9154334038055,12,0.122000813338756,99.8779991866612,1,0.102249488752556,99.8977505112474,0,0,100,0,0,100
"50","GEAR_2",7280,97.9679720091509,2.03202799084914,8269,94.7736389684814,5.22636103151862,7493,90.8462657613967,9.15373423860329,11289,94.8177389551487,5.18226104485133,8258,84.3083205717203,15.6916794282797,8326,88.0126849894292,11.9873150105708,9472,96.2993086620578,3.70069133794225,906,92.6380368098159,7.36196319018406,1915,84.3612334801762,15.6387665198238,4913,95.4165857448048,4.58341425519518
"51","GEAR_3",7431,100,0,8725,100,0,8231,99.7938894277401,0.206110572259945,11906,100,0,9792,99.9693721286371,0.0306278713629382,9435,99.7357293868922,0.264270613107826,9816,99.7966653111021,0.203334688897925,978,100,0,2270,100,0,5020,97.4946591571179,2.50534084288211
"52","GEAR_4",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"53","GEAR_5",7431,100,0,8725,100,0,8248,100,0,11906,100,0,9795,100,0,9460,100,0,9836,100,0,978,100,0,2270,100,0,5149,100,0
"54","GEAR_FREQUENCY1",2069,27.842820616337,72.157179383663,2412,27.6446991404011,72.3553008595989,2466,29.898157129001,70.101842870999,5633,47.3122795229296,52.6877204770704,4478,45.7172026544155,54.2827973455845,4932,52.1353065539112,47.8646934460888,5632,57.259048393656,42.740951606344,632,64.6216768916155,35.3783231083845,1240,54.625550660793,45.374449339207,2253,43.7560691396388,56.2439308603612
"55","GEAR_FREQUENCY2",7353,98.9503431570448,1.04965684295519,8315,95.3008595988539,4.69914040114612,7697,93.319592628516,6.68040737148399,11583,97.2870821434571,2.71291785654292,8872,90.5768249106687,9.42317508933129,9039,95.5496828752643,4.45031712473572,9662,98.230988206588,1.76901179341196,961,98.2617586912066,1.73824130879345,1925,84.8017621145375,15.1982378854625,4927,95.6884832006215,4.31151679937852
