"NEWDATE","COUNT_HISTORICAL3","COUNT_ORACLE3","COMPARE"
2004-01-06,40,40,0
2004-01-07,3,3,0
2004-01-14,6,6,0
2004-01-15,47,47,0
2004-02-09,27,27,0
2004-02-11,6,6,0
2004-02-17,122,122,0
2004-02-23,9,9,0
2004-03-04,5,5,0
2004-03-08,4,4,0
2004-03-09,66,66,0
2004-03-10,6,6,0
2004-03-12,32,32,0
2004-03-13,35,35,0
2004-03-14,46,46,0
2004-03-15,3,3,0
2004-03-22,4,4,0
2004-03-28,12,12,0
2004-04-06,10,10,0
2004-04-13,20,20,0
2004-04-14,23,23,0
2004-04-15,4,4,0
2004-04-22,5,5,0
2004-04-27,3,3,0
2004-05-06,4,4,0
2004-05-12,203,203,0
2004-05-18,5,5,0
2004-05-21,19,19,0
2004-05-24,11,11,0
2004-05-26,10,10,0
2004-06-03,NA,5,NA
2004-06-04,6,6,0
2004-06-07,3,3,0
2004-06-09,7,7,0
2004-06-15,NA,8,NA
2004-06-16,10,18,8
2004-06-22,26,26,0
2004-06-24,17,17,0
2004-07-06,3,3,0
2004-07-07,30,30,0
2004-07-09,9,9,0
2004-07-12,2,2,0
2004-07-13,10,10,0
2004-07-23,5,5,0
2004-08-10,36,36,0
2004-08-11,2,2,0
2004-08-12,10,10,0
2004-08-24,6,6,0
2004-08-25,23,23,0
2004-08-27,3,3,0
2004-08-30,113,113,0
2004-09-02,38,38,0
2004-09-03,28,28,0
2004-09-07,16,16,0
2004-09-09,10,10,0
2004-09-10,16,16,0
2004-09-13,33,33,0
2004-09-20,28,28,0
2004-09-22,43,43,0
2004-09-23,14,14,0
2004-10-01,2,2,0
2004-10-05,29,29,0
2004-10-08,70,71,1
2004-10-12,46,46,0
2004-10-17,19,19,0
2004-10-18,25,25,0
2004-10-19,46,46,0
2004-10-20,13,14,1
2004-10-21,9,9,0
2004-10-22,3,3,0
2004-10-25,7,7,0
2004-10-26,7,7,0
2004-10-27,7,7,0
2004-11-11,2,2,0
2004-11-15,17,17,0
2004-11-16,18,18,0
2004-11-17,31,31,0
2004-11-21,46,46,0
2004-11-28,3,3,0
2004-11-29,2,2,0
2004-11-30,5,5,0
2004-12-01,11,11,0
2004-12-02,8,8,0
2004-12-05,21,21,0
2004-12-12,10,10,0
2004-12-13,29,29,0
2004-12-14,79,79,0
2004-12-15,20,20,0
2004-12-16,7,7,0
2004-12-20,11,11,0
2004-12-26,3,3,0
2004-12-27,8,8,0
2004-12-28,5,5,0
