"NEWDATE","COUNT_ORACLE","COUNT_HISTORICAL","COMPARE"
1997-01-07,3,3,0
1997-01-15,36,36,0
1997-01-16,16,16,0
1997-01-23,33,33,0
1997-01-24,16,16,0
1997-01-29,3,3,0
1997-01-30,2,2,0
1997-02-07,32,32,0
1997-02-10,14,14,0
1997-02-11,117,117,0
1997-02-13,17,17,0
1997-02-18,75,75,0
1997-02-24,1,NA,NA
1997-02-25,140,135,5
1997-02-26,176,172,4
1997-02-27,91,88,3
1997-03-06,16,16,0
1997-03-10,33,33,0
1997-03-11,1,1,0
1997-03-13,9,9,0
1997-03-14,15,15,0
1997-03-18,5,5,0
1997-03-20,19,19,0
1997-03-21,93,93,0
1997-03-23,5,10,-5
1997-03-24,41,41,0
1997-03-25,67,67,0
1997-03-26,106,105,1
1997-03-31,5,5,0
1997-05-06,10,10,0
1997-05-07,47,47,0
1997-05-09,7,7,0
1997-05-14,3,3,0
1997-05-15,21,21,0
1997-05-16,24,24,0
1997-05-19,57,57,0
1997-05-20,13,13,0
1997-05-22,36,36,0
1997-05-23,61,61,0
1997-05-27,54,54,0
1997-05-28,37,37,0
1997-05-29,92,92,0
1997-06-02,6,6,0
1997-06-03,10,10,0
1997-06-04,17,17,0
1997-06-05,94,94,0
1997-06-06,36,36,0
1997-06-09,46,46,0
1997-06-11,7,7,0
1997-06-12,37,37,0
1997-06-16,13,16,-3
1997-06-30,65,65,0
1997-07-10,4,4,0
1997-07-15,55,55,0
1997-07-16,34,34,0
1997-07-17,27,27,0
1997-07-18,14,14,0
1997-07-22,18,18,0
1997-07-23,14,14,0
1997-07-24,70,70,0
1997-07-29,45,45,0
1997-07-30,24,24,0
1997-07-31,60,60,0
1997-08-01,58,58,0
1997-08-05,67,67,0
1997-08-06,8,8,0
1997-08-07,28,28,0
1997-08-08,36,36,0
1997-08-12,36,36,0
1997-08-13,24,24,0
1997-08-14,55,55,0
1997-08-18,13,13,0
1997-08-19,35,35,0
1997-08-20,41,41,0
1997-08-21,32,32,0
1997-08-25,25,25,0
1997-08-26,32,32,0
1997-08-27,87,87,0
1997-08-28,87,87,0
1997-09-02,17,17,0
1997-09-03,52,52,0
1997-09-04,11,11,0
1997-09-05,124,124,0
1997-09-09,78,78,0
1997-09-11,25,25,0
1997-09-15,23,23,0
1997-09-16,43,43,0
1997-09-17,13,13,0
1997-09-18,10,10,0
1997-09-23,10,10,0
1997-09-25,15,15,0
1997-09-29,34,34,0
1997-09-30,12,12,0
1997-10-01,27,27,0
1997-10-07,78,78,0
1997-10-08,79,79,0
1997-10-17,8,8,0
1997-10-20,51,51,0
1997-10-21,183,183,0
1997-10-24,29,29,0
1997-10-27,134,134,0
1997-10-28,52,52,0
1997-10-29,36,36,0
1997-10-30,41,41,0
1997-10-31,63,63,0
1997-11-03,45,45,0
1997-11-04,39,39,0
1997-11-05,57,57,0
1997-11-10,6,6,0
1997-11-12,58,58,0
1997-11-14,29,29,0
1997-11-17,32,32,0
1997-11-18,45,45,0
1997-11-20,12,12,0
1997-11-24,3,3,0
1997-12-01,46,46,0
1997-12-04,5,5,0
1997-12-09,66,66,0
1997-12-19,50,50,0
1997-12-20,21,21,0
1997-12-22,11,11,0
1997-10-23,NA,1,NA
