STANDARDGEARNAME_1,STANDARDGEAR_1,gear_short,gear_group
NOT CODED,0,MG,Misc. Gear
HAUL SEINES,10,SN,Seine Nets 
STOP SEINES,21,SN,Seine Nets 
ENCIRCLING NETS (PURSE),30,SN,Seine Nets 
"POTS AND TRAPS, CMB",130,PT,Pots and Traps
"POTS AND TRAPS, FISH        ",139,PT,Pots and Traps
"POTS AND TRAPS, SPINY LOBSTER",140,PT,Pots and Traps
"POTS AND TRAPS, BOX TRAP            ",182,PT,Pots and Traps
ENTANGLING NETS (GILL) UNSPC,200,GN,Gill Nets
"GILL NETS, OTHER                ",207,GN,Gill Nets
TRAMMEL NETS,210,GN,Gill Nets
ROD AND REEL,300,HL,Hand Lines
"ROD AND REEL, ELECTRIC (HAND)",302,HL,Hand Lines
"REEL, ELECTRIC OR HYDRAULIC",303,HL,Hand Lines
LINES POWER TROLL OTHER,320,TG,Trolling Gear
LINES LONG SET WITH HOOKS,400,LL,Long Lines 
"BUOY GEAR, VERTICAL                       ",401,HL,Hand Lines
LINES LONG DRIFT WITH HOOKS,402,LL,Long Lines 
"LINES LONG, REEF FISH",403,LL,Long Lines 
DIP NETS,550,ON,Other Nets
CAST NETS,551,ON,Other Nets
SPEARS,660,SP,Spear
"SPEARS, DIVING",661,SP,Spear
"GRABS, HOOKS",670,OHG,Other Hand Gear
"HOOKS, SPONGE                    ",671,OHG,Other Hand Gear
LINES HAND      ,700,HL,Hand Lines
BY HAND,750,SP,Spear
SKIN DIVING,751,SP,Spear
"BY HAND, DIVING GEAR",752,SP,Spear
UNSPECIFIED GEAR,801,MG,Misc. Gear
NA ,NA,MG,Misc. Gear
