ID,AREAZIP,MONTH,DAY,YEAR,LATITUDE (degrees minutes),LONGITUDE (degrees minutes),GEAR CODE,MAX DEPTH (fathoms),MIN DEPTH (fathoms),SPECIES CODE,FORK LENGTH (mm),WEIGHT CODE,WEIGHT (grams)
04-1430,251,1,20,2010,UNKNOWN,UNKNOWN,116,8,6,901,144,W,
04-1430,251,1,20,2010,UNKNOWN,UNKNOWN,116,8,6,901,107,W,
04-1430,251,1,20,2010,UNKNOWN,UNKNOWN,116,8,6,901,92,W,
1155,251,1,20,2010,UNKNOWN,UNKNOWN,116,8,6,901,96,W,
1155,251,1,20,2010,UNKNOWN,UNKNOWN,116,8,6,901,134,W,
1155,251,1,20,2010,UNKNOWN,UNKNOWN,116,8,6,901,122,W,
1155,251,1,20,2010,UNKNOWN,UNKNOWN,116,8,6,901,119,W,
1155,251,1,20,2010,UNKNOWN,UNKNOWN,116,8,6,901,124,W,
1155,251,1,20,2010,UNKNOWN,UNKNOWN,116,8,6,901,113,W,
1155,251,1,20,2010,UNKNOWN,UNKNOWN,116,8,6,901,126,W,
1155,251,1,20,2010,UNKNOWN,UNKNOWN,116,8,6,901,110,W,
1155,251,1,20,2010,UNKNOWN,UNKNOWN,116,8,6,901,109,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,104,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,120,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,96,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,114,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,124,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,106,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,110,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,112,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,121,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,98,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,101,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,130,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,97,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,92,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,114,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,107,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,118,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,134,W,
UNK43,251,1,20,2010,UNKNOWN,UNKNOWN,101,40,30,901,96,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,104,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,112,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,140,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,110,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,96,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,104,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,114,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,111,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,98,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,112,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,110,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,108,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,106,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,97,W,
UNK44,251,1,20,2010,UNKNOWN,UNKNOWN,116,10,6,901,101,W,
UNK45,251,1,20,2010,UNKNOWN,UNKNOWN,104,20,15,140,325,W,
UNK45,251,1,20,2010,UNKNOWN,UNKNOWN,104,20,15,140,384,W,
UNK45,251,1,20,2010,UNKNOWN,UNKNOWN,104,20,15,140,412,W,
UNK45,251,1,20,2010,UNKNOWN,UNKNOWN,104,20,15,140,390,W,
UNK45,251,1,20,2010,UNKNOWN,UNKNOWN,104,20,15,140,548,W,
UNK45,251,1,20,2010,UNKNOWN,UNKNOWN,104,20,15,140,620,W,
