SEQUENCE,INTDATE,AREACOUNTY,AREAZIP,GEARCODE,STDEPTH,ENDDEPTH,SPECIES,NODCCODE,STLENGTH,LENGTHTYPE,WEIGHT
9291621,1/1/1992,,,300,0,0,0,,0,,0
9290009,1/12/1992,,131,104,15,0,131,,980,,1906.8
9290009,1/12/1992,,131,104,15,0,131,,71,,7037
9290036,1/13/1992,,330,116,0,0,751,,790,,8.739
9290036,1/13/1992,,330,116,0,0,88,,405,,1500
9290036,1/13/1992,,330,116,0,0,234,,688,,3178
9290036,1/13/1992,,330,116,0,0,88,,460,,1820
9290036,1/13/1992,,330,116,0,0,88,,390,,1020
9290036,1/13/1992,,330,116,0,0,88,,270,,255
9290036,1/13/1992,,330,116,0,0,88,,395,,1065
9290036,1/13/1992,,330,116,0,0,88,,340,,600
9290036,1/13/1992,,330,116,0,0,189,,287,,515
9290036,1/13/1992,,330,116,0,0,189,,290,,600
9290036,1/13/1992,,330,116,0,0,189,,280,,520
9290036,1/13/1992,,330,116,0,0,751,,340,,765
9290036,1/13/1992,,330,116,0,0,90,,370,,795
9290036,1/13/1992,,330,116,0,0,251,,453,,2724
9290036,1/13/1992,,330,116,0,0,751,,324,,570
9290036,1/13/1992,,330,116,0,0,751,,370,,760
9290036,1/13/1992,,330,116,0,0,88,,395,,420
9290036,1/13/1992,,330,116,0,0,135,,433,,420
9290027,1/14/1992,,330,116,0,0,901,,72,,350
9290027,1/14/1992,,330,116,0,0,901,,110,,1020
9290027,1/14/1992,,330,116,0,0,901,,74,,390
9290027,1/14/1992,,330,116,0,0,901,,97,,715
9290027,1/14/1992,,330,116,0,0,901,,71,,355
9290027,1/14/1992,,330,116,0,0,901,,90,,625
9290027,1/14/1992,,330,116,0,0,901,,100,,825
9290027,1/14/1992,,330,116,0,0,901,,86,,550
9290027,1/14/1992,,330,116,0,0,901,,81,,435
9290027,1/14/1992,,330,116,0,0,901,,74,,350
9290027,1/14/1992,,330,116,0,0,901,,84,,540
9290027,1/14/1992,,330,116,0,0,901,,76,,385
9290028,1/14/1992,,330,114,2,0,901,,84,,510
9290028,1/14/1992,,330,114,2,0,901,,102,,990
9290028,1/14/1992,,330,114,2,0,901,,103,,850
9290028,1/14/1992,,330,114,2,0,901,,91,,650
9290028,1/14/1992,,330,114,2,0,901,,74,,330
9290006,1/15/1992,,130,104,10,0,140,,300,FM,410
9290006,1/15/1992,,130,104,10,0,135,,265,,330
9290006,1/15/1992,,130,104,10,0,136,,245,,245
9290006,1/15/1992,,130,104,10,0,140,,250,,235
9290006,1/15/1992,,130,104,10,0,140,,290,,315
9290006,1/15/1992,,130,104,10,0,142,,240,,210
9290006,1/15/1992,,130,104,10,0,131,,285,,350
9290006,1/15/1992,,130,104,10,0,136,,260,,280
9290006,1/15/1992,,130,104,10,0,142,,223,,165
9290006,1/15/1992,,130,104,10,0,140,,300,,430
9290006,1/15/1992,,130,104,10,0,140,,360,,770
9290006,1/15/1992,,130,104,10,0,140,,254,,245
9290006,1/15/1992,,130,104,10,0,140,,254,,240
9290006,1/15/1992,,130,104,10,0,140,,375,,405
9290006,1/15/1992,,130,104,10,0,140,,250,,190
9290006,1/15/1992,,130,104,10,0,140,,254,,205
9290006,1/15/1992,,130,104,10,0,140,,230,,140
9290006,1/15/1992,,130,104,10,0,140,,343,,620
9290006,1/15/1992,,130,104,10,0,136,,250,,230
9290006,1/15/1992,,130,104,10,0,140,,254,,240
9290006,1/15/1992,,130,104,10,0,140,,240,,200
9290006,1/15/1992,,130,104,10,0,142,,220,,170
9290006,1/15/1992,,130,104,10,0,140,,234,,185
9290006,1/15/1992,,130,104,10,0,140,,253,,245
9290006,1/15/1992,,130,104,10,0,140,,239,,205
9290006,1/15/1992,,130,104,10,0,140,,360,,730
9290006,1/15/1992,,130,104,10,0,140,,335,,610
