MRIP_Site_ID,MRIP_Site_Name,MRIP_Street Adreess,MRIP_City,MRIP_County_Code,MRIP_County,MRIP_Zip,MRIP_State,MRIP_Latitude,MRIP_Longitude,MRIP_Directions:,MRIP_DMS_LAT,MRIP_DMS_LONG
2235,Desembocadura Rio Espinal,PR-442,Aguada,3,Aguada,602,PR,18.4056978,-67.176086,"PR-442, Bo. Espinal",,
2262,Guanquilla Coast,PR-441,Aguada,3,Aguada,602,PR,18.3942825,-67.1924549,"PR-441, Bo. Guaniquilla",,
2031,Aguadilla Park Ramp,PR-442,Aguadilla,5,Aguadilla,603,PR,18.419175,-67.1565508,"Paseo Real Marina, Rampa Pública, PR-442",,
2295,Rompeolas Aguadilla Pueblo,PR-111,Aguadilla,5,Aguadilla,603,PR,18.4337036,-67.1564348,"Playa Rompeolas, PR-111",,
2297,Parque Colon Aguadilla,PR-442,Aguadilla/Aguada,5,Aguadilla,603,PR,18.4131255,-67.1622891,"Paseo Parque Colon, Bo. Espinar",,
,Playa Crash Boat,PR-458,Aguadilla,5,Aguadilla,603,PR,18.4587557,-67.1639648,"Playa Crash Boat, Bo. Borinquen, PR-458",,
,Playa PeNa Blanca,Wishing Well St,Aguadilla,5,Aguadilla,603,PR,18.4721766,-67.168419,"Playa PeNa Blanca, calle Wishing Well, Sector Playuelas, Bo. Borinquen",,
,Punta Borinquen,Villa del Golf St.,Aguadilla,5,Aguadilla,603,PR,18.4905151,-67.1558562,"Playa Punta Borinquen, Villa del Golf St., Bo. Borinquen",,
2225,Asoc. Pescadores Tres Hermanos,PR-401,ANasco,11,ANasco,610,PR,18.2833793,-67.1903923,"Rampa Pública, Sector La Playa",,
1603,Rampa de Arecibo,PR-681,Arecibo,13,Arecibo,612,PR,18.4779879,-66.6998508,"Playa El Faro, Rampa CaNo Tiburones, Bo. Islote, Sector El Muelle, PR-681",,
1603,RAMPA ROMPEOLAS,CARR. 681,ARECIBO,13,ARECIBO,,PR,18.477951,-66.699873,"LUEGO DEL PUENTE , ANTES DEL FARO",,
2001,CLUB NAUTICO DE ARECIBO,CARR. 681,ARECIBO,13,ARECIBO,,PR,18.475693,-66.697506,CARR. 681 ANTES DEL ROMPEOLAS,,
5000,CaNo Tiburones (Muellecito),Calle Vertedero,Arecibo,13,Arecibo,612,PR,18.4671753,-66.6335312,"Muelle CaNo Tiburones, Calle Verterero, Sector San Luis, Bo. Garrochales",,
5655,Malecon Arroyo,,Arroyo,,Arroyo,714,PR,17.961111,-66.064167,2–98 Calle Esperanza ,17°57?40? N ,66°3?51? W
