TIP_PLACE_ID,TIP_PLACE_NAME,TIP_CNTY_ID,TIP_CNTY_NAME,TIP_STATE_ID
1804480,ADJUNTAS MUNICIPIO,1,ADJUNTAS,PR
2415401,ESPINAR BARRIO,3,AGUADA,PR
2415447,GUANIQUILLA BARRIO,3,AGUADA,PR
1804482,AGUADILLA MUNICIPIO,5,AGUADILLA,PR
1611081,HIGUEY,5,AGUADILLA,PR
161PLAY,PLAYUELA,5,AGUADILLA,PR
1612773,TAMARINDO,5,AGUADILLA,PR
1804483,AGUAS BUENAS MUNICIPIO,7,AGUAS BUENAS,PR
1612792,TRES HERMANOS,11,ANASCO,PR
1611211,JAREALITO,13,ARECIBO,PR
1804487,ARROYO MUNICIPIO,15,ARROYO,PR
1991883,PLAYA LAS PALMAS,15,ARROYO,PR
1611855,PUNTA PITAHAYA,15,ARROYO,PR
2415151,BARCELONETA BARRIO-PUEBLO,17,BARCELONETA,PR
1611236,LA BOCA,17,BARCELONETA,PR
2415745,PALMAS ALTAS,17,BARCELONETA,PR
1609615,BAYAMON,21,BAYAMON,PR
1612981,BAHIA SUCIA,23,CABO ROJO,PR
1609637,BOQUERON,23,CABO ROJO,PR
1804491,CABO ROJO MUNICIPIO,23,CABO ROJO,PR
1610229,EL COMBATE,23,CABO ROJO,PR
2415443,GUANAJIBO BARRIO,23,CABO ROJO,PR
1610856,GUANIQUILLA,23,CABO ROJO,PR
1611222,JOYUDA,23,CABO ROJO,PR
1611746,PUERTO REAL,23,CABO ROJO,PR
1611855,PUNTA PITAHAYA,23,CABO ROJO,PR
1804492,CAGUAS MUNICIPIO,25,CAGUAS,PR
1804493,CAMUY MUNICIPIO,27,CAMUY,PR
1611847,PUNTA PENON,27,CAMUY,PR
2416072,TORRECILLA,31,CAROLINA,PR
1990766,CANCHA LA PUNTILLA,33,CATANO,PR
1992294,VIETNAM,33,CATANO,PR
2415607,MACHOS BARRIO,37,CEIBA,PR
1611803,PUNTA FIGUERAS,37,CEIBA,PR
2415033,CULEBRA BARRIO-PUEBLO,49,CULEBRA,PR
1611469,MAMEYAL,51,DORADO,PR
1610815,FAJARDO,53,FAJARDO,PR
1611361,LAS CROABAS,53,FAJARDO,PR
1991889,PLAYA PUERTO REAL,53,FAJARDO,PR
1991934,PUERTO REAL,53,FAJARDO,PR
2416027,SARDINERA BARRIO,53,FAJARDO,PR
1990589,BAHIA,55,GUANICA,PR
1612983,BALNEARIO DE CANA GORDA,55,GUANICA,PR
1990642,BARRIO GUAYPAO,55,GUANICA,PR
1609677,CALETA SALINAS,55,GUANICA,PR
1610277,ENSENADA,55,GUANICA,PR
1992713,MUNICIPIO DE GUANICA,55,GUANICA,PR
1612670,SALINAS PROVIDENCIA,55,GUANICA,PR
1609607,BARRANCAS,57,GUAYAMA,PR
1804509,GUAYAMA MUNICIPIO,57,GUAYAMA,PR
1611215,JOBOS,57,GUAYAMA,PR
1611856,PUNTA POZUELO,57,GUAYAMA,PR
1610237,FARO (GUAYANILLA),59,GUAYAMILLA,PR
1804510,GUAYANILLA MUNICIPIO,59,GUAYAMILLA,PR
1611692,PLAYA DE GUAYANILLA,59,GUAYAMILLA,PR
2415477,HATILLO BARRIO-PUEBLO,65,HATILLO,PR
1611831,PUNTA MARACAYO,65,HATILLO,PR
1609653,BUENA VISTA,69,HUMACAO,PR
1611782,PUNTA CANDELERO,69,HUMACAO,PR
1611862,PUNTA SANTIAGO,69,HUMACAO,PR
2415146,BAJURA BARRIO,71,ISABELA,PR
1804516,ISABELA MUNICIPIO,71,ISABELA,PR
2415550,JOBOS BARRIO,71,ISABELA,PR
1611474,MANZANILLO,75,JUANA DIAZ,PR
1611632,PASTILLO,75,JUANA DIAZ,PR
1611844,PUNTA PAPAYO,79,LAJAS,PR
1611845,PUNTA PARGUERA,79,LAJAS,PR
1612668,SALINAS FORTUNA,79,LAJAS,PR
180452A,ANCONES (LOIZA),87,LOIZA,PR
1804524,LOIZA MUNICIPIO,87,LOIZA,PR
2415672,MEDIANIA BAJA BARRIO,87,LOIZA,PR
1612761,SUAREZ,87,LOIZA,PR
1612834,VIEQUES,87,LOIZA,PR
1610832,FORTUNA,89,LUQUILLO,PR
1804525,LUQUILLO MUNICIPIO,89,LUQUILLO,PR
180452C,LA CALIFORNIA,91,MANATI,PR
1613187,PUNTA MANATI,91,MANATI,PR
1992912,EL FARO (MAUNABO),95,MAUNABO,PR
1804528,MAUNABO MUNICIPIO,95,MAUNABO,PR
1609732,CANO BOQUILLA,97,MAYAGUEZ,PR
2416073,DOCKEY - MAYAGUEZ,97,MAYAGUEZ,PR
161SECO,EL SECO,97,MAYAGUEZ,PR
1611472,MANI,97,MAYAGUEZ,PR
2415651,MARINA MERIDIONAL SUBBARRIO,97,MAYAGUEZ,PR
1804529,MAYAGUEZ MUNICIPIO,97,MAYAGUEZ,PR
1610198,DAGUAO,103,NAGUABO,PR
1611100,HUCARES,103,NAGUABO,PR
1804532,NAGUABO MUNICIPIO,103,NAGUABO,PR
1779808,COMMONWEALTH OF PUERTO RICO,0,NOT CODED,PR
1848460,ISLAND OF PUERTO RICO,0,NOT CODED,PR
0,NOT CODED,0,NOT CODED,PR
2415142,BAJO BARRIO,109,PATILLAS,PR
2415453,GUARDARRAYA BARRIO,109,PATILLAS,PR
1993069,MUNICIPIO DE PENUELAS,111,PENUELAS,PR
1612770,TALLABOA,111,PENUELAS,PR
1611209,JARDINES DE PONCE,113,PONCE,PR
1611698,PLAYA DE PONCE,113,PONCE,PR
1804537,PONCE MUNICIPIO,113,PONCE,PR
1612796,TUQUE,113,PONCE,PR
2415158,BARRERO BARRIO,117,RINCON,PR
1610153,CORCEGA,117,RINCON,PR
1993171,MUNICIPIO DE RINCON,117,RINCON,PR
2415907,RINCON BARRIO-PUEBLO,117,RINCON,PR
1867736,STELLA,117,RINCON,PR
1993172,MUNICIPIO DE RIO GRANDE,119,RIO GRANDE,PR
1867720,PALMER,119,RIO GRANDE,PR
1611456,MACHUCHAL,121,SABANA GRANDE,PR
2415093,AGUIRRE BARRIO,123,SALINAS,PR
1611377,LAS MAREAS,123,SALINAS,PR
1611384,PLAYA DE SALINAS (LAS OCHENTA),123,SALINAS,PR
1804542,SALINAS MUNICIPIO,123,SALINAS,PR
2415500,LA HOARE,127,SAN JUAN,PR
1611283,LA PUNTILLA,127,SAN JUAN,PR
1992035,LAS MARGARITAS,127,SAN JUAN,PR
1613324,PUERTA DE TIERRA,127,SAN JUAN,PR
1804544,SAN JUAN MUNICIPIO,127,SAN JUAN,PR
1611705,PLAYA CORTADA,133,SANTA ISABEL,PR
1611695,PLAYA DE JAUCA,133,SANTA ISABEL,PR
1611700,PLAYA DE SANTA ISABEL,133,SANTA ISABEL,PR
1804547,SANTA ISABEL MUNICIPIO,133,SANTA ISABEL,PR
1611596,PALO SECO,137,TOA BAJA,PR
1609966,CERRO GORDO,143,VEGA ALTA,PR
1611742,PUERTO NUEVO,145,VEGA BAJA,PR
1612907,ESPERANZA,147,VIEQUES,PR
161291H,MORROPO (ISLA VIEQUES),147,VIEQUES,PR
1804554,VIEQUES MUNICIPIO,147,VIEQUES,PR
1993222,MUNICIPIO DE YABUCOA,151,YABUCOA,PR
1611691,PLAYA DE GUAYANES,151,YABUCOA,PR
