LAND_GEAR_NAME,gear_short,gear,fleet
BY HAND; SCUBA,SP,Spear,1
DIVING OUTFITS; OTHER,SP,Spear,2
ENTANGLING NETS (GILL) UNSPC,NT,Net,1
GILL NETS; GL 1 - 2 INCH,NT,Net,1
GILL NETS; GL 2 - 4 INCH,NT,Net,2
GILL NETS; OTHER,NT,Net,3
LINES HAND; OTHER,OT,Other,0
LINES LONG; REEF FISH,OT,Other,0
NOT CODED 000,OT,Other,0
POTS AND TRAPS; BOX TRAP,TR,Trap,1
POTS AND TRAPS; CMB,TR,Trap,1
POTS AND TRAPS; FISH,TR,Trap,1
SPEAR; SCUBA,SP,Spear,1
SPEAR; SKIN DIVING,SP,Spear,1
SPEARS,SP,Spear,1
STOP SEINES,OT,Other,0
TRAMMEL NETS,NT,Net,1
NA,OT,Other,0
