LAND_STANDARD_GEAR_NAME,gear_short,gear,fleet
BY HAND; DIVING GEAR,DV,Diving,1
BY HAND; SCUBA,DV,Diving,1
DIVING OUTFITS; OTHER,DV,Diving,1
ENTANGLING NETS (GILL) UNSPC,NT,Net,1
GILL NETS; OTHER,NT,Net,1
GILL NETS; GL 1 - 2 INCH,NT,Net,1
GILL NETS; GL 2 - 4 INCH,NT,Net,1
LINES HAND,OT,Other,0
LINES LONG; REEF FISH,OT,Other,0
LINES HAND; OTHER,OT,Other,0
NOT CODED,OT,Other,0
NOT CODED 000,OT,Other,0
POTS AND TRAPS; BOX TRAP,TR,Trap,1
POTS AND TRAPS; CMB,TR,Trap,1
POTS AND TRAPS; FISH,TR,Trap,1
SPEARS; DIVING,DV,Diving,1
SPEAR; SCUBA,DV,Diving,1
SPEAR; SKIN DIVING,DV,Diving,1
SPEARS,DV,Diving,1
STOP SEINES,OT,Other,0
TRAMMEL NETS,NT,Net,1
NA,OT,Other,0
