LAND_STANDARD_GEAR_NAME,gear_short,gear,fleet
BY HAND,OT,Other,0
BY HAND; DIVING GEAR,OT,Other,0
CAST NETS,NT,Net,1
ENTANGLING NETS (GILL) UNSPC,NT,Net,1
HAUL SEINES,NT,Net,1
LINES HAND,HL,Hook and Line,1
LINES LONG SET WITH HOOKS,HL,Hook and Line,1
LINES LONG; REEF FISH,HL,Hook and Line,1
LINES POWER TROLL OTHER,HL,Hook and Line,1
NOT CODED,OT,Other,0
POTS AND TRAPS; FISH,TR,Trap,1
POTS AND TRAPS; SPINY LOBSTER,TR,Trap,1
ROD AND REEL,HL,Hook and Line,1
SKIN DIVING,OT,Other,0
TRAMMEL NETS,NT,Net,1
UNSPECIFIED GEAR,OT,Other,0
NA,OT,Other,0
