sp_an,family,common,latin,sp_nodc,sp_itis,sp_dner,rf,rfa,confirm_tip,confirm_mrf
172,Muraenidae,green moray,Gymnothorax funebris,8741050401,161186,034,0,0,0,1
36,Carangidae,banded rudderfish,Seriola zonata,8835280804,168693,-99,0,0,0,1
38,Carangidae,Florida pompano,Trachinotus carolinus,8835280901,168708,-99,0,0,0,1
45,Carcharhinidae,sandbar shark,Carcharhinus plumbeus,8708020503,160289,-99,0,0,0,1
77,Engraulidae,dusky anchovy,Anchoa lyolepis,8747020205,161842,-99,0,0,0,1
116,Holocentridae,reef squirrelfish,Sargocentron coruscum,8810080111,166180,-99,1,1,0,1
128,Labridae,blackear wrasse,Halichoeres poeyi,8839010708,170509,-99,1,1,0,1
133,Labrisomidae,hairy blenny,Labrisomus nuchipinnis,8842090307,171415,-99,1,1,0,1
141,Lutjanidae,red snapper,Lutjanus campechanus,8835360107,168853,-99,1,1,0,1
156,Mobulidae,devil ray,Mobula hypostoma,8713080202,160997,-99,0,0,0,1
163,Mugilidae,striped mullet,Mugil cephalus,8836010101,170335,-99,0,0,0,1
226,Scombridae,Spanish mackerel,Scomberomorus maculatus,8850030502,172436,-99,0,1,0,1
242,Serranidae,warsaw grouper,Epinephelus nigritus,8835020410,167704,-99,1,1,0,1
246,Serranidae,gag,Mycteroperca microlepis,8835020501,167759,-99,1,1,0,1
255,Sparidae,sheepshead,Archosargus probatocephalus,8835430301,169189,-99,0,1,0,1
261,Sparidae,littlehead porgy,Calamus proridens,8835430508,169203,-99,0,1,0,1
279,Urolophidae,yellow stingray,Urobatis jamaicensis,8713050301,160965,-99,0,0,0,1
306,Belonidae,Atlantic needlefish,Strongylura marina,8803020201,165551,-99,0,0,0,1
307,Belonidae,timucu,Strongylura timucu,8803020203,165554,-99,0,0,0,1
308,Belonidae,Atlantic agujon,Tylosurus acus,8803020301,165571,-99,0,0,0,1
309,Carcharhinidae,silky shark,Carcharhinus falciformes,8708020506,160310,-99,0,0,0,1
310,Carcharhinidae,smalltail shark,Carcharhinus porosus,8708020512,160340,-99,0,0,0,1
311,Clupeidae,Spanish sardine,Sardinella aurita,8747011001,161763,-99,0,0,0,1
312,Dactyloscopidae,saddle stargazer,Platygillellus rubrocinctus,8840130501,171051,-99,0,0,0,1
313,Gempylidae,black snake mackerel,Nealotus tripes,8850010601,172368,-99,0,0,0,1
314,Gerreidae,Irish pompano,Diapterus auratus,8835390204,169029,-99,0,0,0,1
315,Gerreidae,spotfin mojarra,Eucinostomus argenteus,8835390101,169015,-99,0,0,0,1
316,Gerreidae,bigeye mojarra,Eucinostomus havana,8835390108,169022,-99,0,0,0,1
317,Gerreidae,slender mojarra,Eucinostomus jonesii,8835390109,169023,-99,0,0,0,1
318,Gerreidae,mottled mojarra,Eucinostomus lefroyi,8835390104,169018,-99,0,0,0,1
319,Gerreidae,flagfin mojarra,Eucinostomus melanopterus,8835390105,169019,-99,0,0,0,1
320,Holocentridae,longjaw squirrelfish,Neoniphon marianus,8810080105,166175,-99,0,0,0,1
321,Holocentridae,bigeye soldierfish,Ostichthys trachypoma,8810080301,166240,-99,1,1,0,1
322,Labridae,painted wrasse,Halichoeres caudalis,8839010703,170504,-99,1,1,0,1
323,Labrisomidae,mimic blenny,Labrisomus guppyi,8842090304,171412,-99,1,1,0,1
324,Mullidae,red goatfish,Mullus auratus,8835450201,169417,-99,1,1,0,1
325,Muraenidae,chain moray,Echidna catenata,8741050201,161171,-99,0,0,0,1
326,Paralichthyidae,bay whiff,Citharichthys spilopterus,8857030110,172725,-99,0,0,0,1
327,Polynemidae,Atlantic threadfin,Polydactylus octonemus,8838010101,170447,-99,0,0,0,1
328,Polynemidae,littlescale threadfin,Polydactylus oligodon,8838010104,170450,-99,0,0,0,1
