MRIP_Site_Name,MER_Name,Main_ID,OBJECTID,MER_Municipio,MER_latitude_d,MER_longitued_d,MRIP_County,MRIP_Latitude.y,MRIP_Longitude.y
rampa villa pesquera,barrio bajura,12,1,isabela,18.5097,-67.020842,isabela,18.5097393,-67.0208193
penon amador,punta penon,13,2,camuy,18.49045,-66.867483,camuy,18.4903767,-66.8674379
rampa de arecibo,jarealito,15,3,arecibo,18.47843,-66.693023,arecibo,18.4779879,-66.6998508
rampa de arecibo,arecibo rampa,14,4,arecibo,18.477933,-66.699767,arecibo,18.4779879,-66.6998508
isla roque,palmas altas,16,5,barceloneta,18.488211,-66.560594,barceloneta,18.4882022,-66.562234
club nautico de vega baja,puerto nuevo,17,6,vega baja,18.484917,-66.384917,vega baja,18.484824,-66.384591
asociacion pesca deportiva,mameyal,18,7,dorado,18.476035,-66.277895,dorado,18.476216,-66.277476
bay view ramp,la puntilla,19,8,catano,18.441614,-66.125198,catano,18.443265,-66.129359
cangrejos yacht club,torrecilla,20,9,carolina,18.45375,-65.983972,carolina,18.45571,-65.991892
rampa pozita,fortuna,21,10,luquillo,18.380194,-65.742972,luquillo,18.381105,-65.736258
las croabas park & ramp,las croabas,22,11,fajardo,18.363606,-65.625704,fajardo,18.363126,-65.62489
sea lovers marina,barrio sardinera,23,12,fajardo,18.346148,-65.636464,fajardo,18.347613,-65.636307
sun bay marina,maternillo,24,13,fajardo,18.332455,-65.627744,fajardo,18.33834,-65.634289
marina puerto del rey,marina puerto del rey,25,14,fajardo,18.284853,-65.632781,fajardo,18.285973,-65.636535
roosevelt roads,barrio los machos,26,15,ceiba,18.270546,-65.630416,ceiba,18.270279,-65.630709
playa la fanduca,hucares,27,16,naguabo,18.186914,-65.710703,naguabo,18.184177,-65.707816
muelle playa guayanes,playa de guayanes,28,17,yabucoa,18.063617,-65.816194,yabucoa,18.063611,-65.816639
puerto sun oil,puerto yabucoa,29,18,yabucoa,18.049408,-65.834372,yabucoa,18.048333,-65.832778
balneario de patillas/water&sport,bajo de patillas,30,19,patillas,17.975683,-65.989847,patillas,17.974167,-65.988056
malecon arroyo,playa las palmas,31,20,arroyo,17.961347,-66.064175,arroyo,17.961111,-66.064167
club nautico santa isabel,playa de santa isabel,32,21,santa isabel,17.956314,-66.410716,santa isabel,17.953056,-66.404444
rampa el combate,el combate,1,22,cabo rojo,17.981764,-67.214146,cabo rojo,17.9809205,-67.2139639
marina pescaderia,puerto real,2,23,cabo rojo,18.074683,-67.188483,cabo rojo,18.0751187,-67.188389
marina 9 barrios,soltero puerto real,3,24,cabo rojo,18.074871,-67.187805,cabo rojo,18.0748264,-67.1873346
rampa sector el seco,el seco rampa,4,25,mayaguez,18.212228,-67.158479,mayaguez,18.2120823,-67.1581927
asoc. pescadores tres hermanos,tres hermanos,5,26,anasco,18.283198,-67.190221,anasco,18.2833793,-67.1903923
rincon's public ramp,rincon,6,27,rincon,18.344367,-67.259917,rincon,18.3444135,-67.2599212
desembocadura rio espinal,barrio espinal,8,28,aguada,18.407854,-67.171732,aguada,18.4056978,-67.176086
guanquilla coast,guaniquilla barrio,7,29,aguada,18.394251,-67.192421,aguada,18.3942825,-67.1924549
aguadilla park ramp,higuey,9,30,aguadilla,18.419877,-67.155979,aguadilla,18.419175,-67.1565508
rompeolas aguadilla pueblo,barrio tamarindo,10,31,aguadilla,18.435,-67.155907,aguadilla,18.4337036,-67.1564348
playa crash boat,playuela,11,32,aguadilla,18.459112,-67.164371,aguadilla,18.4587557,-67.1639648
barrio el faro,maunabo,33,33,maunabo,17.991245,-65.888635,maunabo,17.991389,-65.888889
asociacion de pescadores,NA,NA,NA,NA,NA,NA,canovanas,18.390278,-65.911667
balneario punta guilarte,NA,NA,NA,NA,NA,NA,arroyo,17.963805,-66.037867
cano tiburones (muellecito),NA,NA,NA,NA,NA,NA,arecibo,18.4671753,-66.6335312
club nautico de arecibo,NA,NA,NA,NA,NA,NA,arecibo,18.475693,-66.697506
club nautico de san juan,NA,NA,NA,NA,NA,NA,san juan,18.46016,-66.088508
comunidad guardarraya,NA,NA,NA,NA,NA,NA,patillas,17.973056,-65.946111
cooperativa de torrecillas,NA,NA,NA,NA,NA,NA,loiza,18.453682,-65.983932
el membrillo,NA,NA,NA,NA,NA,NA,camuy,18.4899071,-66.8579774
laguna levitown,NA,NA,NA,NA,NA,NA,toa baja,18.459457,-66.193958
laguna tortuguero,NA,NA,NA,NA,NA,NA,vega baja,18.460316,-66.42547
los machos,NA,NA,NA,NA,NA,NA,ceiba,18.262657,-65.630048
NA,vietnam,NA,NA,catano,18.441427,-66.112169,NA,NA,NA
NA,bahia de guanica,NA,NA,guanica,17.963907,-66.905267,NA,NA,NA
NA,bahia de guayanilla,NA,NA,guayanilla,18.006529,-66.7678,NA,NA,NA
NA,parcelas vieques,NA,NA,loiza,18.423194,-65.829778,NA,NA,NA
NA,jobos,NA,NA,guayama,17.950405,-66.180633,NA,NA,NA
NA,barrio barrero,NA,NA,rincon,18.305237,-67.238472,NA,NA,NA
NA,punta candelero,NA,NA,humacao,18.076386,-65.798319,NA,NA,NA
NA,calle hoare,NA,NA,san juan,18.445819,-66.083436,NA,NA,NA
NA,cerro gordo,NA,NA,vega alta,18.480817,-66.34155,NA,NA,NA
NA,la coal,NA,NA,san juan,18.462139,-66.102222,NA,NA,NA
NA,boqueron rampa,NA,NA,cabo rojo,18.026381,-67.175216,NA,NA,NA
NA,puerto mosquito,NA,NA,rio grande,18.392944,-65.812583,NA,NA,NA
NA,punta papayo,NA,NA,lajas,17.97281,-67.027814,NA,NA,NA
NA,pastillo,NA,NA,juana diaz,17.9903,-66.48327,NA,NA,NA
NA,el faro cabo rojo,NA,NA,cabo rojo,17.947318,-67.193363,NA,NA,NA
NA,la parguera,NA,NA,lajas,17.974016,-67.052073,NA,NA,NA
NA,la parguera rampa,NA,NA,lajas,17.974118,-67.054995,NA,NA,NA
NA,la princesa,NA,NA,san juan,18.463111,-66.118639,NA,NA,NA
NA,tallaboa,NA,NA,penuelas,17.98989,-66.716153,NA,NA,NA
NA,playa de ponce,NA,NA,ponce,17.981533,-66.622992,NA,NA,NA
NA,playa de salinas,NA,NA,salinas,17.959656,-66.298127,NA,NA,NA
NA,punta pozuelo,NA,NA,guayama,17.938067,-66.185261,NA,NA,NA
NA,punta santiago,NA,NA,humacao,18.164666,-65.743732,NA,NA,NA
NA,salinas providencia,NA,NA,guanica,17.935427,-66.955679,NA,NA,NA
ostiones,NA,NA,NA,NA,NA,NA,cabo rojo,18.094672,-67.194902
palo seco shore,NA,NA,NA,NA,NA,NA,catano,18.455385,-66.151412
parque colon aguadilla,NA,NA,NA,NA,NA,NA,aguadilla,18.4131255,-67.1622891
playa el corcho,NA,NA,NA,NA,NA,NA,naguabo,18.203333,-65.668889
playa jauca,NA,NA,NA,NA,NA,NA,santa isabel,17.965278,-66.365278
playa jobos isabela,NA,NA,NA,NA,NA,NA,isabela,18.5128687,-67.0771521
playa lucia,NA,NA,NA,NA,NA,NA,yabucoa,18.040278,-65.834444
playa pena blanca,NA,NA,NA,NA,NA,NA,aguadilla,18.4721766,-67.168419
