"LAND_STANDARD_GEAR_NAME","emmean","SE","df","asymp.LCL","asymp.UCL","group","n_fish","n_distinct_ID"
"POTS AND TRAPS; FISH",3.30248981989124,0.0137398065296561,Inf,3.27556029393856,3.32941934584391," 1 ",648,119
"HAUL SEINES",3.36258610816208,0.0387744643333844,Inf,3.28658955454881,3.43858266177535," 12",671,21
"UNSPECIFIED GEAR",3.38044209720282,0.166883929495786,Inf,3.05335560579256,3.70752858861308," 12",1,1
"ENTANGLING NETS (GILL) UNSPC",3.40203857568421,0.0497292786409629,Inf,3.30457098057077,3.49950617079765," 12",74,9
"LINES LONG; REEF FISH",3.40962457874797,0.170108634442387,Inf,3.0762177817816,3.74303137571434," 12",17,1
"TRAMMEL NETS",3.4183857143328,0.0683070993476621,Inf,3.28450625972298,3.55226516894262," 12",43,5
"BY HAND; DIVING GEAR",3.41866853049569,0.0189057738747481,Inf,3.38161389460133,3.45572316639006,"  2",153,67
"LINES LONG SET WITH HOOKS",3.4292156258603,0.0416233099878468,Inf,3.34763543736677,3.51079581435382," 12",261,15
"NOT CODED",3.44271046899274,0.0153336110983383,Inf,3.41265714348705,3.47276379449843,"  2",1811,128
"LINES HAND",3.450502075217,0.00916040968207235,Inf,3.4325480021565,3.46845614827749,"  2",6806,350
"SKIN DIVING",3.47273747862918,0.0828731751858991,Inf,3.31030903998034,3.63516591727802," 12",18,4
"ROD AND REEL",3.47400190371674,0.0542709916435074,Inf,3.36763271469019,3.58037109274329," 12",62,8
"LINES POWER TROLL OTHER",3.59361616379578,0.129978456287949,Inf,3.33886307070529,3.84836925688628," 12",122,2
