"LAND_STANDARD_GEAR_NAME","emmean","SE","df","asymp.LCL","asymp.UCL","group","n_fish","n_distinct_ID"
"HAUL SEINES",3.17533201979792,0.0165752270539298,Inf,3.14284517173664,3.20781886785919," 1   ",7214,212
"POTS AND TRAPS; FISH",3.22438430324203,0.00741741234860641,Inf,3.20984644218028,3.23892216430378," 12  ",6995,1282
"BY HAND",3.22575763838904,0.140486261242459,Inf,2.95040962603114,3.50110565074695," 1234",47,2
"CAST NETS",3.24727327852784,0.250373844659839,Inf,2.75654956032373,3.73799699673195," 1234",32,1
"ENTANGLING NETS (GILL) UNSPC",3.27736572276269,0.0177992946319364,Inf,3.24247974633387,3.3122516991915,"  23 ",1338,123
"TRAMMEL NETS",3.30500006549567,0.0133121344879276,Inf,3.27890876134198,3.33109136964936,"   3 ",1005,224
"POTS AND TRAPS; SPINY LOBSTER",3.31062993457738,0.0547860396844164,Inf,3.20325126994034,3.41800859921442," 1234",235,14
"NOT CODED",3.31854724280658,0.0122523225049127,Inf,3.29453313196998,3.34256135364318,"   3 ",5627,385
"UNSPECIFIED GEAR",3.33319890198851,0.13811788060251,Inf,3.06249283038659,3.60390497359043," 1234",2,2
"LINES LONG; REEF FISH",3.33875497197994,0.208775930253996,Inf,2.92956166784326,3.74794827611662," 1234",17,1
"LINES LONG SET WITH HOOKS",3.34576269676519,0.0247102360613186,Inf,3.29733152403552,3.39419386949486,"   34",634,61
"ROD AND REEL",3.34777275432793,0.0360186058644325,Inf,3.2771775840603,3.41836792459556,"   34",355,31
"BY HAND; DIVING GEAR",3.35126292840565,0.0183358006908353,Inf,3.31532541942391,3.38720043738739,"   34",556,116
"LINES HAND",3.38296798906124,0.0074807336209989,Inf,3.36830602058615,3.39762995753634,"    4",79556,2637
"LINES POWER TROLL OTHER",3.3844194542486,0.0324943878982236,Inf,3.3207316242684,3.44810728422879,"   34",419,36
"SKIN DIVING",3.39266170696957,0.0990085403729476,Inf,3.19860853367671,3.58671488026243," 1234",18,4
