"LAND_STANDARD_GEAR_NAME","emmean","SE","df","asymp.LCL","asymp.UCL","group","n_fish","n_distinct_ID"
"POTS AND TRAPS; CMB",3.317254806023,0.0969549863188951,Inf,3.1272265247164,3.50728308732961," 123",3,2
"POTS AND TRAPS; FISH",3.37936413480575,0.0133862766935162,Inf,3.35312751459937,3.40560075501213," 1  ",829,158
"BY HAND; DIVING GEAR",3.39822395350943,0.151347637302777,Inf,3.10158803525075,3.6948598717681," 123",1,1
"POTS AND TRAPS; SPINY LOBSTER",3.40373450340603,0.0482393502823262,Inf,3.30918711421506,3.498281892597," 123",29,7
"HAUL SEINES",3.43203492715683,0.0507594109856545,Inf,3.33254830974848,3.53152154456518," 123",81,8
"LINES HAND",3.43449756691255,0.0141492176579036,Inf,3.40676560989364,3.46222952393146,"  2 ",7845,229
"ROD AND REEL; ELECTRIC (HAND)",3.44762990838928,0.0592021640089008,Inf,3.33159579912501,3.56366401765356," 123",124,6
"REEL; ELECTRIC OR HYDRAULIC",3.51074755381271,0.0639630986061725,Inf,3.38538218420503,3.6361129234204," 123",139,5
"ROD AND REEL",3.54543917379782,0.0287188598662371,Inf,3.48915124278295,3.6017271048127,"   3",330,23
"SPEARS; DIVING",3.67549043275861,0.151727940421137,Inf,3.37810913408475,3.97287173143248," 123",1,1
