"LAND_STANDARD_GEAR_NAME","emmean","SE","df","asymp.LCL","asymp.UCL","group","n_fish","n_distinct_ID"
"POTS AND TRAPS; SPINY LOBSTER",3.36572831591658,0.0396021855683578,Inf,3.28810945849352,3.44334717333963," 12 ",64,13
"POTS AND TRAPS; CMB",3.37219908378348,0.0300181673952306,Inf,3.31336455680694,3.43103361076003," 12 ",78,26
"GRABS; HOOKS",3.38068594226907,0.161384488260195,Inf,3.06437815761566,3.69699372692248," 123",1,1
"POTS AND TRAPS; FISH",3.38979081922443,0.00910476711090905,Inf,3.37194580359942,3.40763583484944," 1  ",2084,444
"BY HAND; DIVING GEAR",3.4123451408582,0.167962707219578,Inf,3.08314428396198,3.74154599775442," 123",1,1
"HAUL SEINES",3.4191599532259,0.0342803797084861,Inf,3.35197164362091,3.48634826283089," 12 ",556,26
"NOT CODED",3.4387655391301,0.105456577217896,Inf,3.23207444585016,3.64545663241005," 123",15,2
"ENCIRCLING NETS (PURSE)",3.43908252155257,0.0400008098624836,Inf,3.36068237486967,3.51748266823547," 123",363,20
"POTS AND TRAPS; BOX TRAP",3.44717638612869,0.0778476669555134,Inf,3.29459776261541,3.59975500964196," 123",6,4
"LINES HAND",3.45337606877443,0.0110516714713922,Inf,3.43171519072153,3.47503694682732,"  2 ",15244,452
"ROD AND REEL; ELECTRIC (HAND)",3.46108669809459,0.0687969966790013,Inf,3.32624706235923,3.59592633382996," 123",124,6
"LINES LONG; REEF FISH",3.47101891446707,0.0971491415736015,Inf,3.28061009585383,3.66142773308031," 123",109,4
"LINES POWER TROLL OTHER",3.49777527844718,0.0424200809549311,Inf,3.41463344755424,3.58091710934012," 123",544,20
"REEL; ELECTRIC OR HYDRAULIC",3.52126784088555,0.0788238155869453,Inf,3.36677600121111,3.67575968055998," 123",139,5
"LINES LONG SET WITH HOOKS",3.53337707782848,0.134552072541776,Inf,3.26965986160138,3.79709429405559," 123",4,1
"DIP NETS",3.54725070523649,0.105833068289831,Inf,3.33982170301505,3.75467970745793," 123",109,3
"SPEARS",3.54939614016164,0.161033715742619,Inf,3.23377585700945,3.86501642331383," 123",1,1
"ENTANGLING NETS (GILL) UNSPC",3.57448895371011,0.135361560869092,Inf,3.30918516951556,3.83979273790466," 123",48,2
"ROD AND REEL",3.57812215287902,0.0291810008132885,Inf,3.52092844225214,3.6353158635059,"   3",361,29
"HOOKS; SPONGE",3.61027298535252,0.11851747271219,Inf,3.37798300729792,3.84256296340712," 123",38,2
"SPEARS; DIVING",3.66777441907063,0.161403077317462,Inf,3.35143020053447,3.98411863760679," 123",1,1
