"LAND_STANDARD_GEAR_NAME","emmean","SE","df","asymp.LCL","asymp.UCL","group","n_fish","n_distinct_ID"
"POTS AND TRAPS; BOX TRAP",3.1473170025594,0.128020937878205,Inf,2.89640057505108,3.39823343006773," 12",1,1
"LINES LONG; REEF FISH",3.25447180583138,0.0583387368612442,Inf,3.14012998267978,3.36881362898297," 12",11,2
"STOP SEINES",3.31790545572257,0.0875889337717053,Inf,3.14623430008576,3.48957661135938," 12",4,1
"NOT CODED",3.32840250150514,0.031553204133166,Inf,3.26655935780729,3.39024564520298," 12",105,8
"ENTANGLING NETS (GILL) UNSPC",3.34129442423289,0.0170895235342568,Inf,3.3077995735928,3.37478927487299," 12",2131,56
"POTS AND TRAPS; FISH",3.34462326577853,0.0107142670559998,Inf,3.32362368822803,3.36562284332904," 1 ",19910,614
"GILL NETS; OTHER",3.34702696334086,0.0421096501612684,Inf,3.26449356562319,3.42956036105853," 12",121,5
"SPEARS; DIVING",3.36805683532184,0.0305247341175321,Inf,3.30822945581381,3.42788421482986," 12",1007,65
"BY HAND; DIVING GEAR",3.37275741309928,0.0253143910524536,Inf,3.32314211834591,3.42237270785265," 12",521,20
"POTS AND TRAPS; CMB",3.37651575399803,0.0166260007859694,Inf,3.34392939125059,3.40910211674546," 12",2922,113
"SPEARS",3.40111040854315,0.0192439408959805,Inf,3.36339297746641,3.43882783961989,"  2",2133,107
"LINES HAND",3.41020617732202,0.0463646462715118,Inf,3.31933314047392,3.50107921417012," 12",113,4
"TRAMMEL NETS",3.43705638082283,0.0552563935425902,Inf,3.32875583956378,3.54535692208188," 12",69,3
