"COUNTY_CODE","SAMPLE_AREA","LANDING_AREA"
"000",88,85
"003",528,528
"005",1059,1059
"007",2,2
"011",169,169
"013",567,567
"015",121,121
"017",14,14
"021",1,1
"023",2546,2547
"025",1,1
"027",36,36
"031",33,33
"033",30,30
"037",607,607
"049",6,6
"051",64,65
"053",366,366
"055",385,385
"057",543,543
"059",18,18
"065",11,11
"069",152,152
"071",29,29
"075",223,223
"079",612,613
"087",81,81
"089",4,4
"091",4,4
"095",4,4
"097",847,847
"103",124,124
"109",11,11
"111",1530,1530
"113",84,84
"117",308,308
"119",28,28
"121",2,2
"123",102,102
"127",1194,1194
"133",8,8
"137",1,1
"143",32,32
"145",35,35
"147",480,480
"151",344,344
