"PLACE_CODE","SAMPLE_AREA","LANDING_AREA"
"1609607",4,4
"1609615",1,1
"1609637",588,588
"1609653",12,12
"1609677",59,59
"1609966",22,22
"1610153",3,3
"1610229",675,675
"1610237",14,14
"1610815",119,119
"1610832",4,4
"1610856",23,23
"1611081",353,353
"1611100",115,115
"1611209",1,1
"1611211",553,553
"1611215",4,4
"1611222",17,17
"1611236",10,10
"1611283",473,473
"1611361",94,94
"1611377",2,2
"1611456",2,2
"1611469",56,56
"1611472",611,611
"1611596",1,1
"1611632",220,220
"1611691",331,331
"1611692",3,3
"1611695",1,1
"1611698",61,61
"1611705",3,3
"1611742",6,6
"1611746",1020,1019
"1611782",128,128
"1611831",3,3
"1611845",574,574
"1611855",2,2
"1611856",432,432
"1611862",10,10
"1612670",127,127
"1612761",1,1
"1612770",1450,1450
"1612773",12,12
"1612792",168,168
"1612834",51,51
"1612907",300,300
"161291H",171,171
"1612981",77,77
"1613187",4,4
"1613324",142,142
"1804482",652,652
"1804483",2,2
"1804487",100,100
"1804492",1,1
"1804493",35,35
"1804509",98,98
"1804510",1,1
"1804529",160,160
"180452A",27,27
"1804532",7,7
"1804537",12,12
"1804542",98,98
"1804544",555,555
"1804547",4,4
"1804554",9,9
"1848460",85,85
"1867720",24,24
"1867736",123,123
"1990589",85,85
"1990642",6,6
"1990766",28,28
"1991883",19,19
"1991889",11,11
"1991934",115,115
"1992713",1,1
"1993069",67,67
"1993171",16,16
"1993172",4,4
"1993222",3,3
"2415033",6,6
"2415093",2,2
"2415142",10,10
"2415146",27,27
"2415158",129,129
"2415401",518,518
"2415443",6,6
"2415453",1,1
"2415477",6,6
"2415607",604,604
"2415651",25,25
"2415907",18,18
"2416027",23,23
"2416072",33,33
NA,565,566
